domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,domain_class
26,18,12,6,0.653846154,0.346153846,0.666666667,0.333333333,dga
28,19,11,8,0.464285714,0.535714286,0.578947368,0.421052632,dga
26,19,13,6,0.653846154,0.346153846,0.684210526,0.315789474,dga
27,16,11,5,0.62962963,0.37037037,0.6875,0.3125,dga
25,18,13,5,0.68,0.32,0.722222222,0.277777778,dga
28,17,12,5,0.571428571,0.428571429,0.705882353,0.294117647,dga
27,18,13,5,0.592592593,0.407407407,0.722222222,0.277777778,dga
25,16,12,4,0.68,0.32,0.75,0.25,dga
27,20,16,4,0.740740741,0.259259259,0.8,0.2,dga
28,20,16,4,0.714285714,0.285714286,0.8,0.2,dga
28,17,14,3,0.678571429,0.321428571,0.823529412,0.176470588,dga
26,20,13,7,0.615384615,0.384615385,0.65,0.35,dga
25,19,15,4,0.72,0.28,0.789473684,0.210526316,dga
26,18,14,4,0.730769231,0.269230769,0.777777778,0.222222222,dga
28,19,14,5,0.678571429,0.321428571,0.736842105,0.263157895,dga
26,14,12,2,0.846153846,0.153846154,0.857142857,0.142857143,dga
26,17,14,3,0.807692308,0.192307692,0.823529412,0.176470588,dga
25,17,12,5,0.72,0.28,0.705882353,0.294117647,dga
27,17,11,6,0.518518519,0.481481481,0.647058824,0.352941176,dga
27,18,11,7,0.555555556,0.444444444,0.611111111,0.388888889,dga
28,17,13,4,0.678571429,0.321428571,0.764705882,0.235294118,dga
26,19,11,8,0.615384615,0.384615385,0.578947368,0.421052632,dga
27,20,14,6,0.592592593,0.407407407,0.7,0.3,dga
25,16,11,5,0.64,0.36,0.6875,0.3125,dga
23,14,11,3,0.652173913,0.347826087,0.785714286,0.214285714,dga
27,19,13,6,0.555555556,0.444444444,0.684210526,0.315789474,dga
26,18,14,4,0.730769231,0.269230769,0.777777778,0.222222222,dga
27,14,10,4,0.703703704,0.296296296,0.714285714,0.285714286,dga
27,15,11,4,0.555555556,0.444444444,0.733333333,0.266666667,dga
26,17,13,4,0.653846154,0.346153846,0.764705882,0.235294118,dga
27,19,13,6,0.62962963,0.37037037,0.684210526,0.315789474,dga
27,17,13,4,0.666666667,0.333333333,0.764705882,0.235294118,dga
26,17,11,6,0.5,0.5,0.647058824,0.352941176,dga
27,18,13,5,0.666666667,0.333333333,0.722222222,0.277777778,dga
25,18,14,4,0.64,0.36,0.777777778,0.222222222,dga
27,18,12,6,0.592592593,0.407407407,0.666666667,0.333333333,dga
26,16,12,4,0.730769231,0.269230769,0.75,0.25,dga
28,16,9,7,0.535714286,0.464285714,0.5625,0.4375,dga
27,21,15,6,0.592592593,0.407407407,0.714285714,0.285714286,dga
8,7,6,1,0.75,0.25,0.857142857,0.142857143,legit
24,18,10,8,0.541666667,0.458333333,0.555555556,0.444444444,dga
27,18,11,7,0.481481481,0.518518519,0.611111111,0.388888889,dga
28,20,13,7,0.535714286,0.464285714,0.65,0.35,dga
26,15,11,4,0.730769231,0.269230769,0.733333333,0.266666667,dga
28,19,16,3,0.714285714,0.285714286,0.842105263,0.157894737,dga
27,17,11,6,0.592592593,0.407407407,0.647058824,0.352941176,dga
27,19,15,4,0.740740741,0.259259259,0.789473684,0.210526316,dga
27,22,16,6,0.666666667,0.333333333,0.727272727,0.272727273,dga
28,18,15,3,0.678571429,0.321428571,0.833333333,0.166666667,dga
27,17,10,7,0.444444444,0.555555556,0.588235294,0.411764706,dga
27,17,13,4,0.592592593,0.407407407,0.764705882,0.235294118,dga
26,18,13,5,0.653846154,0.346153846,0.722222222,0.277777778,dga
28,16,12,4,0.678571429,0.321428571,0.75,0.25,dga
27,15,9,6,0.555555556,0.444444444,0.6,0.4,dga
26,19,16,3,0.730769231,0.269230769,0.842105263,0.157894737,dga
26,17,13,4,0.653846154,0.346153846,0.764705882,0.235294118,dga
26,17,11,6,0.5,0.5,0.647058824,0.352941176,dga
27,19,14,5,0.666666667,0.333333333,0.736842105,0.263157895,dga
25,19,13,6,0.64,0.36,0.684210526,0.315789474,dga
26,18,10,8,0.5,0.5,0.555555556,0.444444444,dga
27,20,14,6,0.666666667,0.333333333,0.7,0.3,dga
27,14,10,4,0.555555556,0.444444444,0.714285714,0.285714286,dga
28,19,14,5,0.571428571,0.428571429,0.736842105,0.263157895,dga
26,19,15,4,0.730769231,0.269230769,0.789473684,0.210526316,dga
